feature,importance_mean,importance_std
num__days_since_last_review,0.8103789137336473,0.016440683648664314
num__minimum_nights,0.09014325901668366,0.006442357275644373
num__availability_365,0.047878795281578165,0.003099340902050786
num__distance_from_manhattan_km,0.019596591263780494,0.002517201780238925
num__calculated_host_listings_count,0.014302188482177635,0.0029459202125703666
num__price,0.010160457046990668,0.0014262210348929341
num__name_sentiment,0.009750936650495068,0.009534794130703378
num__log_minimum_nights,0.006330766558286205,0.0020048570108997673
cat__room_type_Entire home/apt,0.004798333954233525,0.0010385837673472192
cat__neighbourhood_group_Queens,0.003995868727646734,0.001164512626042936
cat__room_type_Shared room,0.00193190000944351,0.0004881070718696778
num__log_calculated_host_listings_count,0.0015038993710147052,0.0010758615774310537
num__log_price,0.001266256833829471,0.0007025197886493322
cat__room_type_Private room,0.0007088253786142861,0.0003341921336770866
cat__neighbourhood_group_Brooklyn,0.00039659044798773246,0.00018156610595607692
cat__neighbourhood_group_Bronx,0.00020441368203362177,0.00022660709979507315
num__is_professional_host,4.731385091254481e-05,2.0800354826009568e-05
cat__neighbourhood_group_Manhattan,-5.5076990599134404e-05,0.0001375150000503953
cat__neighbourhood_group_Staten Island,-0.0001758612876222032,4.540887362667455e-05
